epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6798,2.94108,2.79969,2.74896,0.12165,0.125,0.08813,0.03047,3.19748,3.22101,3.34751,0.0001,0.0001,0.0001
2,6.55643,2.87078,2.48519,2.6038,0.02025,0.71875,0.11148,0.03813,3.02828,3.00847,3.14341,0.00021637,0.00021637,0.00021637
3,8.5863,2.55372,2.21325,2.34761,0.0782,0.28125,0.05474,0.02211,3.69116,3.17649,3.66569,0.00032878,0.00032878,0.00032878
4,11.151,2.17595,2.00442,2.13552,0.22235,0.09375,0.13202,0.02985,3.7183,3.09747,3.62032,0.00043723,0.00043723,0.00043723
5,13.1227,2.00151,1.91014,2.01167,0.7642,0.25,0.27325,0.0639,3.31978,2.92304,3.36427,0.00054172,0.00054172,0.00054172
6,15.1616,1.89233,1.80272,1.95284,0.65187,0.3125,0.34004,0.09939,3.15519,2.69421,3.14551,0.00064225,0.00064225,0.00064225
7,18.1177,1.79031,1.69296,1.84721,0.70402,0.37183,0.3961,0.13467,2.87721,2.5777,2.91539,0.00073882,0.00073882,0.00073882
8,20.7619,1.57078,1.62636,1.77575,0.87268,0.4288,0.55228,0.22168,2.47453,2.46794,2.60372,0.00083143,0.00083143,0.00083143
9,22.6946,1.52516,1.59647,1.73698,0.79077,0.35481,0.42592,0.16419,2.95568,2.58048,2.83772,0.00092008,0.00092008,0.00092008
10,24.7316,1.57071,1.544,1.74432,0.70066,0.43895,0.55116,0.21915,2.66469,2.36027,2.59989,0.00100477,0.00100477,0.00100477
11,26.7379,1.4662,1.48513,1.69327,0.82281,0.59375,0.69531,0.35635,1.75903,2.06312,2.08703,0.0010855,0.0010855,0.0010855
12,28.7528,1.51674,1.46522,1.67746,0.84672,0.69061,0.80004,0.3975,1.68148,1.995,2.06307,0.00116227,0.00116227,0.00116227
13,31.421,1.40051,1.3923,1.60798,0.82453,0.5876,0.72941,0.36379,1.84259,1.92044,2.08873,0.00123508,0.00123508,0.00123508
14,34.2726,1.37275,1.34217,1.61376,0.80235,0.63454,0.7311,0.34408,1.90335,1.69183,2.12881,0.00130393,0.00130393,0.00130393
15,36.324,1.31843,1.28562,1.61981,0.76246,0.59375,0.6986,0.33356,1.95237,1.60341,2.15465,0.00136882,0.00136882,0.00136882
16,38.2757,1.32546,1.27784,1.54462,0.90813,0.61808,0.69293,0.30427,2.13892,1.52139,2.29546,0.00142975,0.00142975,0.00142975
17,40.2256,1.3979,1.32762,1.59448,0.81076,0.66972,0.7547,0.29932,2.01552,1.49933,2.28176,0.001472,0.001472,0.001472
18,42.4363,1.24037,1.21932,1.50427,0.87308,0.75,0.81556,0.36339,1.8126,1.48565,2.10319,0.001439,0.001439,0.001439
19,45.0024,1.24539,1.19052,1.51694,0.88764,0.6875,0.81939,0.44595,1.59767,1.41489,1.9402,0.001406,0.001406,0.001406
20,48.1784,1.18514,1.15127,1.45275,0.8347,0.625,0.76276,0.41747,1.61828,1.40475,1.99021,0.001373,0.001373,0.001373
21,50.1889,1.20884,1.16178,1.4811,0.84573,0.68537,0.75242,0.41122,1.67765,1.41906,2.03868,0.00134,0.00134,0.00134
22,52.1878,1.13714,1.1473,1.45645,0.85557,0.65625,0.76922,0.42158,1.63763,1.33061,2.01065,0.001307,0.001307,0.001307
23,54.7208,1.13882,1.12465,1.47992,0.94936,0.65625,0.80014,0.45426,1.65629,1.26672,1.99616,0.001274,0.001274,0.001274
24,56.6263,1.14631,1.12921,1.42142,0.91335,0.78125,0.85987,0.47979,1.47908,1.14361,1.85412,0.001241,0.001241,0.001241
25,58.6434,1.11092,1.1022,1.4151,0.94738,0.8125,0.88727,0.51243,1.42863,1.04145,1.79882,0.001208,0.001208,0.001208
26,61.604,1.08537,1.0871,1.42903,0.92343,0.8125,0.86884,0.54421,1.33534,1.02449,1.73656,0.001175,0.001175,0.001175
27,63.9903,1.08407,1.03599,1.39732,0.95822,0.71681,0.8448,0.52976,1.37922,1.1579,1.74428,0.001142,0.001142,0.001142
28,66.0249,1.0429,1.04286,1.34191,1,0.71152,0.87723,0.55601,1.29006,1.07904,1.65604,0.001109,0.001109,0.001109
29,67.9373,1.01724,1.01785,1.34938,0.99328,0.71875,0.88851,0.56396,1.25625,1.04958,1.62886,0.001076,0.001076,0.001076
30,69.9069,0.98504,1.01037,1.35324,0.90014,0.75,0.86503,0.56019,1.23688,1.05668,1.64228,0.001043,0.001043,0.001043
31,72.0479,1.06134,1.02848,1.39542,0.90792,0.71875,0.8539,0.55993,1.23438,1.06961,1.65087,0.00101,0.00101,0.00101
32,74.9439,1.00934,0.98115,1.35452,0.84533,0.78125,0.86091,0.55212,1.14483,1.08704,1.55356,0.000977,0.000977,0.000977
33,77.5377,0.95001,0.93048,1.31892,0.85567,0.8125,0.89758,0.60281,1.02817,1.08078,1.49449,0.000944,0.000944,0.000944
34,79.9479,0.94904,0.92756,1.30217,0.83106,0.8125,0.89932,0.62175,1.02713,1.04428,1.47652,0.000911,0.000911,0.000911
35,82.1148,1.02907,1.01058,1.34659,0.80239,0.88847,0.89805,0.59966,1.02422,1.0565,1.46507,0.000878,0.000878,0.000878
36,84.0124,0.9936,0.99927,1.33108,0.8368,0.75,0.84532,0.58857,1.0186,1.06543,1.45756,0.000845,0.000845,0.000845
37,85.8825,0.93633,0.9498,1.32959,0.7503,0.84514,0.83853,0.53666,1.14822,1.13087,1.52335,0.000812,0.000812,0.000812
38,88.5799,0.90914,0.91761,1.26736,0.76509,0.81428,0.85191,0.57517,1.15975,1.09355,1.54645,0.000779,0.000779,0.000779
39,91.3799,1.01515,0.99379,1.34592,0.78139,0.78191,0.87319,0.54993,1.14066,1.09146,1.56713,0.000746,0.000746,0.000746
40,93.3079,0.91151,0.89734,1.28635,0.85483,0.6875,0.85289,0.54657,1.16239,1.13517,1.60064,0.000713,0.000713,0.000713
41,95.4686,0.94184,0.92866,1.32265,0.77875,0.77018,0.86603,0.55735,1.17809,1.12946,1.61922,0.00068,0.00068,0.00068
42,97.3975,0.88672,0.91837,1.2674,0.72152,0.84375,0.87579,0.57953,1.1203,1.1092,1.61174,0.000647,0.000647,0.000647
43,99.5047,0.87433,0.92593,1.30545,0.70988,0.91776,0.89301,0.58935,1.10789,1.07314,1.59574,0.000614,0.000614,0.000614
44,101.657,0.90804,0.86723,1.27234,0.81141,0.78125,0.89045,0.59437,1.18993,1.02384,1.60192,0.000581,0.000581,0.000581
45,104.903,0.9275,0.89028,1.25652,0.80802,0.8125,0.88217,0.55125,1.2578,1.09096,1.62312,0.000548,0.000548,0.000548
46,107.092,0.89041,0.8782,1.27589,0.8624,0.6875,0.76417,0.44403,1.38899,1.16869,1.70129,0.000515,0.000515,0.000515
47,109.005,0.84984,0.85822,1.25761,0.75956,0.6875,0.7337,0.42137,1.38161,1.20363,1.72498,0.000482,0.000482,0.000482
48,110.995,0.80302,0.82513,1.22012,0.8399,0.71875,0.79962,0.45587,1.31484,1.17773,1.67855,0.000449,0.000449,0.000449
49,113.007,0.89947,0.84655,1.27078,0.84506,0.71875,0.79586,0.47609,1.28696,1.15679,1.65532,0.000416,0.000416,0.000416
50,115.018,0.78932,0.78377,1.22294,0.95232,0.6875,0.85799,0.52015,1.23634,1.1026,1.63104,0.000383,0.000383,0.000383
51,120.491,0.77051,0.96819,1.2266,0.95627,0.68359,0.85438,0.53832,1.19286,1.09179,1.61754,0.00035,0.00035,0.00035
52,122.992,0.8068,1.03549,1.28571,0.89205,0.71875,0.86158,0.52925,1.1779,1.0737,1.61784,0.000317,0.000317,0.000317
53,124.841,0.79439,0.9034,1.21944,0.84594,0.75,0.86658,0.53717,1.20044,1.0777,1.63501,0.000284,0.000284,0.000284
54,126.824,0.74074,0.84037,1.21137,0.83154,0.77149,0.88472,0.5565,1.21281,1.05207,1.63028,0.000251,0.000251,0.000251
55,128.765,0.76414,0.83061,1.20359,0.83143,0.77092,0.88324,0.55087,1.20746,1.08698,1.61027,0.000218,0.000218,0.000218
56,131.346,0.76804,0.85047,1.20568,0.86102,0.77457,0.88543,0.56395,1.17024,1.06332,1.56897,0.000185,0.000185,0.000185
57,134.168,0.70052,0.77152,1.18636,0.85193,0.78125,0.88783,0.57949,1.1413,1.06059,1.54717,0.000152,0.000152,0.000152
58,136.065,0.7045,0.81637,1.184,0.83528,0.79255,0.8789,0.60215,1.10735,1.04127,1.50918,0.000119,0.000119,0.000119
59,138.045,0.69561,0.76156,1.18476,0.83693,0.80214,0.87888,0.5873,1.09821,1.03019,1.50621,8.6e-05,8.6e-05,8.6e-05
60,140.062,0.67729,0.7824,1.17058,0.86966,0.83428,0.90924,0.60625,1.08172,1.0203,1.49684,5.3e-05,5.3e-05,5.3e-05
